kontrahent_id,nazwa,nip,regon,kraj,miasto,kod_pocztowy,ulica,email,telefon,typ,opiekun_handlowy,data_utworzenia,status
433,Fundacja Miozga-Groth Sp.k. Sp. z o.o.,,481669733,PL,Kołobrzeg,52-391,ul. Cisowa 238,kontakt@fundacja.pl,+48 85 183 74 12,klient,Olgierd Merda,2025-09-30,aktywny
434,Spółdzielnia Majorczyk i syn s.c. sp. z o.o.,6016459773,769811308,PL,Świecie,17-138,ulica Łąkowa 76,kontakt@spółdzielnia.pl,+48 54 992 33 37,klient,Karol Pusz,2021-06-08,aktywny
435,Gabinety Strzoda i syn s.c. sp.k.,4168006102,284399429,PL,Sandomierz,78 953,ul. Stolarska 68/76,kontakt@gabinety.pl,+48 69 808 61 94,oba,pani Justyna Golak,2026-01-06,aktywny
436,Grupa Mijas-Krakowczyk i syn s.c. sp.k.,5641220318,976139210,PL,Nowa Ruda,31-730,al. Poniatowskiego 95/00,kontakt@grupa.pl,+48 35 979 13 36,dostawca,pan Adam Patoka,2022-03-09,aktywny
437,FPUH Kwinta S.A. S.A.,8314727602,225046707,PL,Kościerzyna,94-540,plac Gałczyńskiego 89,kontakt@fpuh.pl,+48 30 856 99 66,dostawca,Andrzej Hus,2025-11-05,aktywny
438,Maron Sp.k. S.A.,9334960503,210234112,PL,Czeladź,75-320,ul. Głowackiego 07/78,kontakt@maron.pl,+48 64 968 73 84,oba,pan Nikodem Bulak,2023-10-27,aktywny
439,Stowarzyszenie Falba S.A.,7899730802,553123931,PL,Katowice,89-946,al. Konarskiego 40/79,kontakt@stowarzyszenie.pl,+48 81 165 44 92,dostawca,Anita Gomuła,2025-11-12,aktywny
440,Gabinety Wojniak sp.k.,5760243751,570417771,PL,Brodnica,04-294,ul. Zamkowa 14/42,kontakt@gabinety.pl,+48 75 324 85 97,dostawca,Jacek Tonder,2025-10-23,aktywny
441,Grupa Szczepan Spółka z o.o.,665-729-34-15,816246415,PL,Elbląg,78-179,ul. Tysiąclecia 524,kontakt@grupa.pl,+48 27 277 35 30,oba,Ada Wawszczyk,2026-01-28,aktywny
442,Gabinety Muc-Pytko Sp. z o.o. S.A.,7433800546,483372937,pl,Kalisz,77-957,aleja Malczewskiego 637,kontakt@gabinety.pl,+48 33 947 74 14,klient,Nikodem Ochota,2024-05-06,aktywny
443,Grupa Majtyka sp.k.,3183745501,926883089,PL,Łomża,97-840,ulica Kalinowa 674,kontakt@grupa.pl,+48 30 973 98 75,oba,pan Rafał Ograbek,2021-09-22,aktywny
444,Fundacja Kutera S.A. S.A.,7119918081,213184291,PL,Police,56-013,plac Kraszewskiego 58/01,kontakt@fundacja.pl,+48 91 220 36 56,klient,pani Inga Kontny,2023-11-01,aktywny
445,Stowarzyszenie Szlufik sp.k.,7125521371,546407987,PL,Żory,13-262,pl. Powstańców Wielkopolskich 39/38,kontakt@stowarzyszenie.pl,+48 42 954 70 53,dostawca,pani Natasza Kwapień,2026-03-22,aktywny
446,Heczko Sp. z o.o. Spółka z o.o.,5653286323,960892562,PL,Gliwice,02-422,ulica Toruńska 344,kontakt@heczko.pl,+48 63 519 68 76,oba,Filip Buśko,2024-08-12,nieaktywny
447,Grupa Oszust-Ziajka Sp.k. S.A.,2081155623,566081562,PL,Stargard Szczeciński,77-654,ulica Sadowa 26/92,kontakt@grupa.pl,+48 61 877 14 94,oba,Daniel Żołądź,2022-04-02,nieaktywny
448,Fundacja Andryszczyk Sp. z o.o.,8466845508,987988308,PL,Zabrze,82-465,plac Kosynierów 54/21,kontakt@fundacja.pl,+48 78 725 28 99,dostawca,Stanisław Ostafin,2025-07-24,aktywny
449,Stowarzyszenie Saj Sp. z o.o. Sp.k. sp.k.,9975634105,677064820,PL,Łomża,23-452,aleja Piękna 62/71,kontakt@stowarzyszenie.pl,+48 60 842 26 76,oba,Rozalia Sporysz,2023-09-28,aktywny
450,Spółdzielnia Szkaradek Sp.k. sp.k.,8485200899,377766466,PL,Gorzów Wielkopolski,57-733,plac Kościuszki 19,kontakt@spółdzielnia.pl,+48 49 843 64 74,klient,Adrianna Wiatrak,2021-03-25,aktywny
451,Spółdzielnia Bisaga Sp.k. Spółka z o.o.,8510174909,586563056,PL,Warszawa,05-681,al. Orzechowa 56/90,kontakt@spółdzielnia.pl,+48 41 924 84 82,oba,pan Przemysław Bodek,2026-07-16,aktywny
452,Dziduch S.A. sp. z o.o.,5449268314,452022995,PL,Warszawa,50-978,pl. Sikorskiego 85/54,kontakt@dziduch.pl,+48 57 565 22 28,oba,Adam Rorat,2025-05-01,aktywny
453,Tasarz s.c. Sp. z o.o.   ,1062737157,826732562,PL,Puławy,11-862,al. Czereśniowa 80,kontakt@tasarz.pl,+48 86 672 76 60,dostawca,Rafał Harasimiuk,2026-02-25,aktywny
454,Grupa Kornak Sp.k. S.A.,7622827724,856477620,PL,Tarnobrzeg,63 087,pl. Konstytucji 3 Maja 20,kontakt@grupa.pl,+48 99 317 68 70,klient,Szymon Słonka,2022-04-26,nieaktywny
455,Spółdzielnia Sajda-Prażmo Sp. z o.o. Spółka z o.o.,196-115-94-00,661328067,PL,Czeladź,83-316,al. Łąkowa 50,kontakt@spółdzielnia.pl,+48 26 480 49 57,dostawca,pani Marika Wita,2023-11-09,aktywny
456,Zemanek-Kala Sp.k. sp. z o.o.,2960443275,102239566,PL,Dzierżoniów,59-963,pl. Konstytucji 3 Maja 31/02,kontakt@zemanek-kala.pl,+48 81 457 18 15,dostawca,pan Marek Pawela,2025-12-14,aktywny
457,Pelka Sp.k. sp.k.,7567922871,917846365,PL,Zakopane,17-015,ulica Wyzwolenia 79,kontakt@pelka.pl,+48 96 559 29 51,klient,Tola Morys,2025-02-24,aktywny
458,Początek Sp.j. S.A.,5807412098,776574610,PL,Giżycko,79-226,ulica Górska 651,kontakt@początek.pl,+48 82 760 25 92,oba,Kazimierz Mateńko,2021-07-06,aktywny
459,Melcer-Bulanda s.c. sp.k.,1820433974,190890036,Poland,Jelenia Góra,43065,aleja Targowa 258,kontakt@melcer-bulanda.pl,+48 62 703 15 72,klient,Monika Pabis,2024-05-15,aktywny
460,Grupa Leks-Dmoch i syn s.c. S.A.,0856411186,280556122,PL,Czerwionka-Leszczyny,79 386,ulica Baczyńskiego 00,kontakt@grupa.pl,+48 29 287 42 21,klient,Dawid Smolka,2023-12-31,nieaktywny
461,Stowarzyszenie Żołnierczyk-Kuczaj i syn s.c. Sp. J.,2095200463,206025798,PL,Reda,61-709,ulica Kochanowskiego 48/76,kontakt@stowarzyszenie.pl,+48 29 522 51 43,dostawca,Tymoteusz Kuder,2021-11-30,aktywny
462,Wlazły S.A. sp. z o.o.,9937886141,165103088,PL,Jawor,64-627,aleja Wałowa 083,kontakt@wlazły.pl,+48 70 666 62 18,dostawca,Ignacy Sanetra,2020-11-18,aktywny
463,Graban Sp. z o.o. Sp.k. sp. z o.o.,0489138242,710149111,PL,Lubartów,70-520,aleja Maczka 34/03,kontakt@graban.pl,+48 68 185 91 74,klient,Krystian Woronko,2022-02-26,aktywny
464,Fundacja Ambrozik S.A. sp. z o.o.,3868700790,410579235,PL,Świecie,06-056,pl. Bema 64,kontakt@fundacja.pl,+48 11 161 71 44,oba,pani Blanka Piłka,2023-05-16,aktywny
465,Zaczyk S.A. S.A.,5398402894,175092373,PL,Słupsk,04-497,ul. Kopernika 79,kontakt@zaczyk.pl,+48 22 504 99 25,klient,pani Monika Politowicz,2023-09-10,nieaktywny
466,Spółdzielnia Ficoń sp. z o.o.,5379502092,611669068,PL,Elbląg,42-234,ulica Chmielna 63,kontakt@spółdzielnia.pl,+48 12 788 32 62,oba,Natasza Polakiewicz,2026-01-15,aktywny
467,Grupa Kieca Sp.j. sp.k.,1180715697,484362791,PL,Kalisz,28-951,al. Partyzantów 527,kontakt@grupa.pl,+48 33 959 99 11,klient,Maurycy Kostek,2025-09-30,aktywny
468,Filak-Jonczyk Sp. z o.o. sp. z o.o.,7030453193,771342645,PL,Białogard,73-062,plac Prusa 762,kontakt@filak-jonczyk.pl,+48 39 339 73 56,klient,pani Marcelina Halik,2023-09-15,aktywny
469,Graboń-Kolka Sp.k. Sp. J.,9303614987,630440618,PL,Września,22-592,ul. Żeromskiego 873,kontakt@graboń-kolka.pl,+48 81 298 94 82,oba,pan Sebastian Lejman,2022-07-11,aktywny
470,FPUH Kasznia S.A. sp. z o.o.,1249384309,844087852,PL,Leszno,42-445,ul. Waryńskiego 90,kontakt@fpuh.pl,+48 98 673 68 10,dostawca,Aleksander Tatarek,2021-02-20,nieaktywny
471,FPUH Sporysz s.c. Spółka z o.o.,6641877585,914993363,PL,Lublin,55-544,al. Jesionowa 731,kontakt@fpuh.pl,+48 39 148 45 63,oba,Kalina Lisak,2025-08-04,aktywny
472,Andruszko-Golan S.A. S.A.,3519036135,311394879,PL,Kętrzyn,12-017,al. Chabrowa 79/90,kontakt@andruszko-golan.pl,+48 53 418 18 90,oba,pan Ernest Kuśka,2021-08-23,aktywny
473,Spółdzielnia Dolega i syn s.c. S.A.   ,0954317352,993908879,PL,Krosno,81-476,pl. Korfantego 16/58,kontakt@spółdzielnia.pl,+48 53 632 40 19,oba,Gustaw Strawa,2025-06-23,aktywny
474,FPUH Block Sp. J.,7911006519,940360006,PL,Czeladź,74-814,ulica Chełmońskiego 085,kontakt@fpuh.pl,+48 18 921 66 17,dostawca,Kamil Noculak,2025-05-26,aktywny
475,Fundacja Graban Sp. J.,080-466-19-64,350302083,PL,Białystok,47-376,ulica Wybickiego 32/53,kontakt@fundacja.pl,+48 69 493 69 64,oba,Malwina Wojniak,2021-09-10,aktywny
476,GABINETY KUŁACH-SZELA I SYN S.C. SP. J.,0785931108,739064402,PL,Piastów,98-231,plac Broniewskiego 64/01,kontakt@gabinety.pl,+48 86 908 34 83,klient,pani Nela Niemira,2026-04-07,aktywny
477,PPUH Grymuza-Fraś Sp.j. S.A.,,434649743,PL,Lubliniec,69-695,al. Jana III Sobieskiego 51/37,kontakt@ppuh.pl,+48 76 767 55 49,oba,Maksymilian Suszka,2022-03-11,aktywny
478,Majorczyk-Tomalak Sp. z o.o. Spółka z o.o.,9545089208,354892732,PL,Jastrzębie-Zdrój,36 115,pl. Batalionów Chłopskich 38,kontakt@majorczyk-tomalak.pl,+48 65 452 35 35,oba,Gustaw Skalik,2022-10-25,aktywny
479,Spółdzielnia Kubanek-Wysota Sp.j. Spółka z o.o.,3779599591,421726973,PL,Mińsk Mazowiecki,95-661,aleja Mostowa 03,kontakt@spółdzielnia.pl,+48 53 266 23 68,klient,pani Julita Pytko,2026-02-13,aktywny
480,Fundacja Wandas Sp. z o.o.,337-933-75-68,320456760,PL,Bielsk Podlaski,90-543,al. Powstańców Śląskich 924,kontakt@fundacja.pl,+48 34 945 10 56,klient,Robert Burzawa,2021-05-21,aktywny
481,Stowarzyszenie Nowotny i syn s.c. sp.k.,1247395007,313806556,PL,Częstochowa,19-362,plac Reja 28/42,kontakt@stowarzyszenie.pl,+48 47 278 38 43,oba,Marcin Jereczek,2022-07-06,aktywny
482,Forysiak-Saternus Sp. z o.o. Sp.k. sp.k.,3230241022,506865213,PL,Łuków,17-452,plac Kilińskiego 80,kontakt@forysiak-saternus.pl,+48 54 315 49 68,klient,pani Marianna Kempka,2024-09-14,aktywny
483,PPUH ŚWIGOŃ S.C. SP. J.,2896112231,305816222,POL,Biała Podlaska,16-943,aleja Ceglana 75,kontakt@ppuh.pl,+48 99 483 50 86,dostawca,Jan Klęk,2023-04-20,nieaktywny
484,PPUH Bogaczyk-Chachaj Sp.k. sp.k.,,235783814,PL,Pruszków,61-918,plac Jana Sobieskiego 75/17,kontakt@ppuh.pl,+48 37 844 20 70,oba,Sebastian Gajcy,2021-04-14,aktywny
485,Grupa Labudda-Langa Sp.j. S.A.,8578725583,845724084,PL,Pruszcz Gdański,29-457,plac Kazimierza Wielkiego 93,kontakt@grupa.pl,+48 74 585 44 84,dostawca,Konstanty Mysiak,2020-12-19,aktywny
486,Damps s.c. sp. z o.o.,7363466928,501694717,PL,Mikołów,87-688,aleja Poznańska 599,kontakt@damps.pl,+48 81 186 27 20,dostawca,Olgierd Kaliciak,2025-07-17,aktywny
487,Gral-Choina Sp.j. sp. z o.o.,9078956771,564399416,PL,Krosno,50-382,aleja Niecała 478,kontakt@gral-choina.pl,+48 58 923 73 50,dostawca,Przemysław Rode,2024-11-05,aktywny
488,FPUH Ciochoń i syn s.c. S.A.,3415148889,791118651,PL,Mińsk Mazowiecki,37 168,pl. Konarskiego 299,kontakt@fpuh.pl,+48 46 333 22 25,klient,Julian Czesak,2024-08-06,aktywny
489,Fundacja Heba sp. z o.o.,535-444-39-21,907865473,PL,Ostróda,43-068,al. Żeromskiego 64,kontakt@fundacja.pl,+48 12 888 48 46,dostawca,Tymoteusz Wiraszka,2025-02-01,nieaktywny
490,FPUH Sykała i syn s.c. sp.k.,0782633379,350958360,PL,Chorzów,26-191,al. Rajska 049,kontakt@fpuh.pl,+48 70 448 20 50,klient,Anastazja Ubysz,2025-05-14,aktywny
491,Spółdzielnia Hejduk i syn s.c. Sp. J.,6377805297,237810085,PL,Warszawa,20-269,plac Sikorskiego 46/27,kontakt@spółdzielnia.pl,+48 12 611 94 55,dostawca,Antoni Murach,2023-02-01,aktywny
492,Fundacja Świątkiewicz Sp. J.,6845909022,265024710,PL,Grodzisk Mazowiecki,96-371,al. Szarych Szeregów 471,kontakt.fundacja.pl,+48 83 744 87 87,oba,pani Agnieszka Parada,2024-12-10,nieaktywny
493,Grupa Tofil-Wochnik Sp.j. sp. z o.o.,6186371592,584832360,PL,Białogard,18-366,ulica Broniewskiego 650,kontakt@grupa.pl,+48 22 275 23 96,oba,Aleks Wawrzyn,2022-07-20,aktywny
494,Jagiełka S.A. Sp. J.,9702316435,350224182,PL,Płońsk,81-188,ulica Okulickiego 544,kontakt@jagiełka.pl,+48 95 636 18 68,klient,pani Anna Maria Ryznar,2024-09-09,aktywny
495,Gabinety Szymajda sp. z o.o.,5662128670,897943460,PL,Wrocław,18-531,plac Sawickiej 652,kontakt@gabinety.pl,+48 60 986 36 26,klient,Przemysław Pociask,2024-01-12,aktywny
496,Spółdzielnia Stwora-Kulisz i syn s.c. Sp. J.,7299493877,395752497,PL,Bielawa,79-707,ul. Korczaka 112,kontakt@spółdzielnia.pl,+48 11 246 67 18,dostawca,Malwina Żynda,2023-04-30,aktywny
497,FPUH Godzik sp.k.,7779014753,851959157,PL,Chorzów,57-912,al. Partyzantów 40/13,kontakt@fpuh.pl,+48 61 727 32 63,klient,Julian Sudak,2022-07-28,nieaktywny
498,Gospodarek-Stochmal S.A. Sp. J.,6762916031,269578434,PL,Włocławek,11-436,pl. Kopernika 76,kontakt@gospodarek-stochmal.pl,+48 91 650 47 95,klient,Konrad Dybaś,2022-12-29,nieaktywny
499,Ratka Sp.k. S.A.,8151185674,276994644,PL,Lębork,76-061,ul. Letnia 14,kontakt@ratka.pl,+48 37 618 15 69,klient,Patryk Derek,2021-05-18,aktywny
500,Stuglik S.A. Sp. J.,7656360044,223139628,PL,Bochnia,26-190,pl. Rynek 24,kontakt@stuglik.pl,+48 52 786 69 72,dostawca,pani Kornelia Niewola,2021-04-28,aktywny
501,  Gabinety Klus-Prawdzik S.A. Sp. J.,3727422099,207927292,PL,Cieszyn,73-070,ulica Łanowa 34,kontakt@gabinety.pl,+48 48 227 78 60,klient,Julita Bitner,2021-06-05,aktywny
502,Połom s.c. Sp. z o.o.,4275230834,574656314,PL,Lubliniec,61-376,pl. Kasprowicza 12/56,kontakt@połom.pl,+48 92 930 76 92,oba,Bruno Zbiciak,2021-09-17,aktywny
503,Wielgos-Staniaszek i syn s.c. Spółka z o.o.,1312206812,975769961,PL,Racibórz,16-478,ulica Pałacowa 480,kontakt@wielgos-staniaszek.pl,+48 52 675 90 34,oba,Arkadiusz Galek,2022-11-18,nieaktywny
504,Siwczak Sp. z o.o. Sp.k. S.A.,6133155207,531793991,PL,Sanok,77-754,plac Wyszyńskiego 64/63,kontakt@siwczak.pl,+48 12 498 37 68,klient,Lidia Stachewicz,2021-04-19,aktywny
505,Spółdzielnia Fikus Spółka z o.o.,9501364976,209321507,PL,Wałcz,63-689,aleja Ptasia 11/26,kontakt@spółdzielnia.pl,+48 43 197 86 51,oba,Tola Grab,2024-11-30,aktywny
506,Bobak-Pachuta S.A. Sp. J.,2525715099,728178604,PL,Wejherowo,26-610,ul. Morelowa 749,kontakt@bobak-pachuta.pl,+48 59 623 91 39,oba,Blanka Flieger,2020-09-15,aktywny
507,FPUH Minkina Sp.j. sp.k.,1436391022,502141680,PL,Wołomin,66-286,aleja Wolności 47,kontakt@fpuh.pl,+48 48 306 29 58,klient,pan Jędrzej Cieciura,2020-12-25,aktywny
508,Słabosz Sp.k. Sp. J.,9752450869,795834545,PL,Radom,09 511,pl. Partyzantów 952,kontakt@słabosz.pl,+48 14 334 52 53,klient,Patryk Trojanowicz,2022-11-13,aktywny
509,Węgrzyk i syn s.c. Sp. J.,,169381847,PL,Dzierżoniów,99-505,ul. Zbożowa 77/84,kontakt@węgrzyk.pl,+48 19 297 16 91,klient,pani Elżbieta Domżał,2022-11-06,aktywny
510,Grupa Duczek Sp.j. sp. z o.o.,9833816747,276264180,PL,Racibórz,49-454,ul. Sportowa 84,kontakt@grupa.pl,+48 42 534 32 87,klient,Marika Hartman,2023-12-16,aktywny
511,Kordus-Kajak Sp.j. S.A.,7689627067,558914339,PL,Wołomin,98-113,al. Tysiąclecia 89/77,kontakt@kordus-kajak.pl,+48 49 709 78 29,oba,Dorota Fik,2022-07-12,aktywny
512,Stowarzyszenie Kuza s.c. S.A.,4746897154,246733633,PL,Dębica,79-693,plac Kazimierza Wielkiego 09,kontakt@stowarzyszenie.pl,+48 36 258 34 10,klient,Hubert Grotek,2026-03-04,aktywny
513,Stowarzyszenie Jośko Spółka z o.o.,7666567491,176487306,PL,Koło,75-028,pl. Kraszewskiego 65,kontakt@stowarzyszenie.pl,+48 15 227 59 82,klient,pani Malwina Parzyszek,2022-09-26,aktywny
514,Powązka-Kiljan Sp.k. Spółka z o.o.,5875066332,612953915,PL,Piekary Śląskie,76-087,pl. Floriana 152,kontakt@powązka-kiljan.pl,+48 57 746 96 13,oba,Julita Grygorowicz,2022-03-20,aktywny
515,Kubasiewicz Sp.k. S.A.,2439920119,791916428,PL,Świdnik,73-528,al. Sosnowa 79/05,kontakt@kubasiewicz.pl,+48 61 823 85 20,oba,Anita Trochimiuk,2022-09-04,nieaktywny
516,PPUH Rodzeń sp. z o.o.,644-886-94-66,907950191,PL,Oleśnica,13-708,pl. Głowackiego 852,kontakt@ppuh.pl,+48 24 751 83 54,klient,Dariusz Dziarmaga,2023-07-29,aktywny
517,Pędzik-Kasiak i syn s.c. Sp. J.,6402701162,663673646,PL,Zabrze,69-220,plac Sienkiewicza 963,kontakt@pędzik-kasiak.pl,+48 94 395 65 31,klient,Elżbieta Grzelczyk,2024-10-04,aktywny
518,Stowarzyszenie Leszczuk-Rohde s.c. sp. z o.o.,3728179324,315758599,PL,Police,61-438,aleja Grottgera 48,kontakt@stowarzyszenie.pl,+48 34 928 34 43,dostawca,Kornelia Nastały,2025-07-02,aktywny
519,Stowarzyszenie Pagacz-Kazior Sp.j. sp.k.,121-416-14-16,467382830,PL,Przemyśl,80-528,ul. Kwiatowa 82/97,kontakt@stowarzyszenie.pl,+48 85 340 71 72,oba,Roksana Kryszkiewicz,2021-09-08,aktywny
520,GABINETY PASICH-RUMAN I SYN S.C. SPÓŁKA Z O.O.,0901380690,658425333,PL,Oświęcim,73-745,pl. Gałczyńskiego 57,kontakt@gabinety.pl,+48 73 584 53 87,dostawca,Tadeusz Krysik,2024-05-01,aktywny
521,Gabinety Mrotek Spółka z o.o.,5356690552,965726040,PL,Świnoujście,41-881,ulica Chmielna 424,kontakt@gabinety.pl,+48 11 567 99 61,oba,Olga Kurc,2022-02-11,aktywny
522,Wojaczek S.A. Sp. z o.o.,8435797866,808914863,PL,Bydgoszcz,32-817,plac Baczyńskiego 66/03,kontakt@wojaczek.pl,+48 11 753 51 12,oba,Jeremi Kopa,2024-08-06,nieaktywny
523,Jędrzejek i syn s.c. Sp. J.,5739769154,559471600,PL,Tczew,85-564,ulica Bolesława Krzywoustego 001,kontakt@jędrzejek.pl,+48 95 977 99 22,oba,pani Kalina Czylok,2024-11-15,aktywny
524,Stowarzyszenie Pachnik Sp.k. sp. z o.o.,8727178331,327247605,PL,Ruda Śląska,51-966,pl. Norwida 98,kontakt@stowarzyszenie.pl,+48 95 816 21 23,dostawca,Angelika Leszczak,2020-11-19,aktywny
525,Gabinety Deszcz-Wiszowata Sp.j. Spółka z o.o.,6434712878,197111094,PL,Ruda Śląska,31-615,aleja Pomorska 63/63,kontakt@gabinety.pl,+48 39 689 86 18,oba,Dominik Przewoźna,2024-05-28,aktywny
526,Parda-Kluj Sp.j. Sp. J.,6863341419,219596078,PL,Stalowa Wola,76-058,al. Reymonta 867,kontakt@parda-kluj.pl,+48 54 858 85 34,oba,Konstanty Dej,2021-11-10,aktywny
527,Sip-Buchalik Sp.k. sp. z o.o.,5690409837,516768084,PL,Krosno,40-022,pl. Makuszyńskiego 03/48,kontakt@sip-buchalik.pl,+48 51 889 56 96,klient,Fabian Luberda,2026-05-21,aktywny
528,Gabinety Woronko sp.k.,,998954542,PL,Wałbrzych,69-888,aleja Władysława Łokietka 64,kontakt@gabinety.pl,+48 74 796 68 28,oba,Tomasz Labocha,2023-09-26,aktywny
529,Macioł-Kuświk i syn s.c. Sp. J.,0954814978,777613840,PL,Jaworzno,57-647,plac Grottgera 41,kontakt@macioł-kuświk.pl,+48 74 398 58 17,dostawca,pan Leonard Ziółko,2022-04-09,aktywny
530,FPUH Gregorek sp. z o.o.,3027642084,521213424,PL,Tychy,21-716,plac Pułaskiego 985,kontakt@fpuh.pl,+48 65 794 70 54,dostawca,pan Fryderyk Solarek,2024-12-10,aktywny
531,Rosada-Panicz i syn s.c. Sp. J.,443-861-25-98,964439252,PL,Nowy Dwór Mazowiecki,18-004,ul. Zielna 911,kontakt@rosada-panicz.pl,+48 49 568 93 30,oba,Witold Kusik,2022-02-06,aktywny
532,Kopiczko-Ziajka Sp.k. S.A.,423-330-59-12,828338194,PL,Świnoujście,41-463,ul. Strzelecka 95,kontakt@kopiczko-ziajka.pl,+48 59 537 96 31,klient,Konrad Łyskawa,2021-08-20,aktywny
533,Stowarzyszenie Tutka Sp.j. S.A.,2018596265,363067825,PL,Dębica,74-230,ulica Ciasna 93/17,kontakt@stowarzyszenie.pl,+48 26 346 60 72,dostawca,Błażej Solich,2022-06-29,aktywny
534,Zieja-Linda s.c. S.A.,176-475-01-12,188730795,PL,Chojnice,77-267,ulica Kołłątaja 91,kontakt@zieja-linda.pl,+48 73 756 95 75,klient,Anna Maria Nazarewicz,2020-10-25,aktywny
535,Gabinety Piekacz Sp.j. sp.k.,7419267647,713560882,PL,Opole,29-731,ulica Korfantego 476,kontakt@gabinety.pl,+48 23 433 18 78,klient,Kornelia Demiańczuk,2025-02-07,aktywny
536,Kożuszek-Ochnik i syn s.c. Sp. z o.o.,6888718984,866382282,PL,Bełchatów,94-694,aleja Kilińskiego 204,kontakt@kożuszek-ochnik.pl,+48 37 774 25 33,oba,Marek Senger,2022-07-30,aktywny
537,Spółdzielnia Milcarz s.c. S.A.,5102932187,375694467,PL,Wągrowiec,83-470,ulica Skrajna 56,kontakt@spółdzielnia.pl,+48 21 227 74 48,dostawca,Ernest Ciastek,2022-06-25,aktywny
538,FPUH Fryś Sp. z o.o. Sp.k. Sp. J.,034-084-87-23,719625768,PL,Rzeszów,13-571,ulica Zaciszna 75,kontakt@fpuh.pl,+48 99 420 76 55,oba,Jan Suchta,2026-04-14,aktywny
539,PPUH Kasak-Ficner Sp.j. Sp. z o.o.,0303243291,692781326,Polska,Świecie,48-136,ul. Drzymały 42,kontakt@ppuh.pl,+48 86 467 45 26,oba,pan Jerzy Broś,2025-04-16,aktywny
540,Sularz Sp.k. Spółka z o.o.,2625660937,183241401,PL,Police,56146,plac Krasickiego 27,kontakt@sularz.pl,+48 26 644 24 97,oba,Olgierd Jas,2025-02-13,aktywny
541,Stowarzyszenie Prawdzik Sp. J.,1554234019,504968149,PL,Lubartów,34-530,plac Reja 728,kontakt@stowarzyszenie.pl,+48 59 207 25 32,oba,pan Patryk Dukat,2023-12-30,aktywny
542,Morcinek S.A. S.A.,185-948-49-14,151500184,PL,Katowice,61-267,aleja Świerczewskiego 70,kontakt@morcinek.pl,+48 51 869 59 33,dostawca,pan Maks Żugaj,2026-07-09,aktywny
543,Fundacja Pupek Sp. z o.o. S.A.,792-408-22-21,506734117,PL,Kościan,19-127,plac Staszica 228,kontakt@fundacja.pl,+48 17 842 91 57,oba,Sylwia Jeżyk,2023-05-09,aktywny
544,Spółdzielnia Han-Bosek s.c. S.A.,7275784468,658984263,PL,Płońsk,74-185,ul. Rolnicza 150,kontakt@spółdzielnia.pl,+48 50 750 21 49,dostawca,Marcel Nieszporek,2024-01-24,aktywny
545,PPUH Baszak Sp. J.,1131290140,695024527,PL,Ostrołęka,20-030,aleja Turkusowa 490,kontakt.ppuh.pl,+48 12 534 96 75,oba,pani Bianka Staśko,2022-02-01,aktywny
546,Stowarzyszenie Domińczak Sp.k. sp.k.,8160930687,904949834,PL,Mława,17-217,aleja Rubinowa 18,kontakt@stowarzyszenie.pl,+48 42 856 94 77,oba,Tomasz Bełz,2021-01-12,aktywny
547,Spółdzielnia Szłapa sp. z o.o.,8321528507,553894576,PL,Reda,52-092,ulica Poziomkowa 642,kontakt@spółdzielnia.pl,+48 59 274 57 24,dostawca,Radosław Dziadowicz,2023-05-12,aktywny
548,FPUH Hutyra Sp. z o.o. Sp.k. Sp. z o.o.,4474430961,333499326,Polska,Wągrowiec,78-135,plac Lelewela 837,kontakt@fpuh.pl,+48 93 627 14 69,oba,pan Marek Wałek,2026-01-12,aktywny
549,PPUH Twardy-Woszczyna i syn s.c. Sp. z o.o.,9754510528,531717324,PL,Świdnik,48-629,aleja Daszyńskiego 108,kontakt@ppuh.pl,+48 12 203 65 72,klient,pani Melania Wojtak,2021-07-05,aktywny
550,Judek-Bugiel Sp.k. sp. z o.o.,6170243762,501911728,PL,Kętrzyn,68-086,plac Świerczewskiego 74,kontakt@judek-bugiel.pl,+48 57 538 33 78,dostawca,Hubert Jasica,2021-10-11,nieaktywny
551,Gabinety Pyszka Sp. J.,7225605311,303546093,PL,Dzierżoniów,55-303,ul. Nałkowskiej 08,kontakt@gabinety.pl,+48 16 236 60 63,oba,Apolonia Ellwart,2024-04-09,nieaktywny
552,Grupa Cholewka Sp.k. sp. z o.o.,3741678725,448845506,PL,Kościan,73-833,plac Paderewskiego 18/01,kontakt@grupa.pl,+48 75 843 59 26,klient,pan Tomasz Jakóbiak,2021-10-07,aktywny
553,Grupa Igras Sp.j. sp. z o.o.,2580305696,891811110,PL,Kluczbork,39322,al. Malczewskiego 79/45,kontakt@grupa.pl,+48 66 591 47 46,dostawca,Bruno Pawlukiewicz,2021-06-26,aktywny
554,Prażuch s.c. sp. z o.o.,928-234-14-31,815466869,PL,Kędzierzyn-Koźle,87-109,ul. Słoneczna 102,kontakt@prażuch.pl,+48 36 585 23 99,oba,pan Mieszko Polasik,2026-03-11,aktywny
555,FPUH Łyczek-Świerkosz s.c. sp. z o.o.,9231260438,256990862,PL,Turek,47-708,pl. Jana Sobieskiego 122,kontakt@fpuh.pl,+48 13 731 35 21,klient,Rafał Pietrasz,2024-10-27,aktywny
556,Boduch S.A. Spółka z o.o.,3356708601,426728893,PL,Szczecin,27-493,pl. Staffa 68,kontakt@boduch.pl,+48 45 472 45 54,oba,Dawid Kij,2025-03-31,aktywny
