produkt_id,indeks,nazwa,kategoria,jednostka_miary,cena_zakupu,cena_sprzedazy,stawka_vat,ean,producent,status,data_utworzenia
168,PRD-34254,Multi-channeled content-based knowledge user,Odczynniki,szt,1321.48,1705.36,23,7397315181849,Gabinety Pokrzywa i syn s.c.,aktywny,2026-05-20
169,PRD-83179,Assimilated web-enabled toolset,Szkło laboratoryjne,szt,1982.96,2281.93,23,9234069026281,Teodorowicz-Bogdał Sp.j.,aktywny,2023-08-26
170,PRD-20093,Operative next generation leverage,Podłoża mikrobiologiczne,szt,571.26,601.94,23,8284438876639,Grupa Bobrowicz,aktywny,2022-06-20
171,PRD-99055,Distributed 3rdgeneration matrices,Sprzęt laboratoryjny,szt,2381.67,3458.56,23,5847667615372,Fundacja Szafarz Sp. z o.o.,aktywny,2024-10-26
172,PRD-64379,Integrated radical intranet,Aparatura,szt,3202.62,3698.29,23,5320897830385,Spółdzielnia Babij,aktywny,2021-07-17
173,PRD-21660,Cross-group asynchronous functionalities,Szkło laboratoryjne,szt,1031.49,1126.09,23,4340180164753,Gabinety Drygała Sp.k.,nieaktywny,2023-03-29
174,PRD-20352,Vision-oriented demand-driven approach,Odczynniki,szt,971.05,1034.04,23,2971054037083,PPUH Łaciak-Małysiak Sp. z o.o.,aktywny,2026-04-05
175,PRD-56352,Stand-alone transitional analyzer,Materiały zużywalne,szt,1055.07,1124.8,23 %,7035817971475,Gabinety Grunt-Klęk Sp. z o.o.,aktywny,2024-02-22
176,PRD-56593,Open-source holistic infrastructure,Sprzęt laboratoryjny,szt,1489.27,983.77,23,7908753452462,FPUH Majsterek,aktywny,2021-05-25
177,PRD-69960,Distributed disintermediate synergy,Materiały zużywalne,szt,1109.54,1507.92,23,8998717062656,FPUH Powała,aktywny,2026-06-05
178,PRD-69384,Mandatory dynamic moderator,Szkło laboratoryjne,szt,848.43,937.21,23,9025153569855,FPUH Langier,aktywny,2021-07-22
179,PRD-62090,Optimized high-level encryption,Aparatura,szt,2628.64,3407.07,23,5354567560654,Spółdzielnia Gortat,aktywny,2022-11-02
180,PRD-85388,Synergistic clear-thinking installation,Materiały zużywalne,szt,3232.5,4709.61,23,2199371060662,Grupa Gadzała Sp.k.,aktywny,2026-07-18
181,PRD-99458,Synchronized well-modulated access,Aparatura,szt,3694.08,4784.81,0.23,1811336321165,Szykuła Sp.j.,aktywny,2021-10-20
182,PRD-66644,Assimilated object-oriented support,,szt,3100.78,5386.35,23,6392772779382,Mielcarz Sp. z o.o.,aktywny,2025-04-12
183,PRD-35680,User-centric dynamic function,Aparatura,szt,2816.21,3312.12,23,5997351989364,Gabinety Wałaszek-Nalazek i syn s.c.,aktywny,2026-06-13
184,PRD-73602,Operative asynchronous artificial intelligence,Szkło laboratoryjne,szt,3440.72,5771.4,23,4364924659455,FPUH Truchel-Detka s.c.,aktywny,2021-02-07
185,PRD-27185,Re-contextualized optimizing support,Podłoża mikrobiologiczne,szt,366.37,625.87,23,63431563175,Gabinety Śliz Sp. z o.o.,aktywny,2024-01-25
186,PRD-26673,Cross-group neutral benchmark,Odczynniki,szt,3424.97,5500.17,23,3793679501802,PPUH Wołos,aktywny,2021-12-31
187,PRD-57884,User-friendly local toolset,Podłoża mikrobiologiczne,szt,501.18,849.67,23,7733634736062,Fundacja Rejmer,aktywny,2023-12-23
188,PRD-64666,Compatible fault-tolerant superstructure,Podłoża mikrobiologiczne,szt,3262.96,5195.76,23,3646485284511,Fundacja Zagozda,aktywny,2024-12-09
189,PRD-92859,Optimized background migration,Sprzęt laboratoryjny,szt,1349.64,1830.15,23,4730615575137,PPUH Kleban Sp.k.,nieaktywny,2024-07-07
190,PRD-50000,Adaptive even-keeled success,Podłoża mikrobiologiczne,szt,150.7,175.83,23,7739368374931,FPUH Han Sp.j.,aktywny,2023-04-04
191,PRD-46243,Open-architected static projection,Odczynniki,sztuka,2696.02,3015.52,23,1941607230622,PPUH Kozieja S.A.,aktywny,2024-01-29
192,PRD-79081,Triple-buffered reciprocal adapter,Materiały zużywalne,sztuka,1256.91,2125.87,23%,2078722375305,FPUH Marcińczyk,aktywny,2023-09-25
193,PRD-55419,Multi-layered impactful Graphical User Interface,,szt,2119.23,2526.59,23,5924127860411,PPUH Zadora-Ruszczak s.c.,aktywny,2022-12-09
194,PRD-34129,Stand-alone regional architecture,Szkło laboratoryjne,szt,2951.32,3645.07,23,9193900885821,FPUH Bik,aktywny,2023-07-13
195,PRD-50000,Total discrete solution,Odczynniki,szt,1082.97,1382.64,23,1213115142106,Staś-Jarmużek S.A.,aktywny,2021-08-21
196,PRD-98824,Re-engineered tertiary contingency,Materiały zużywalne,szt,2678.75,3162.04,23,3276026074617,Fundacja Lesiewicz i syn s.c.,aktywny,2026-01-15
197,PRD-74162,Ameliorated foreground focus group,Aparatura,szt,1901.49,2913.66,23 %,7035952041972,FPUH Drobny s.c.,aktywny,2025-01-07
198,PRD-56788,Public-key interactive conglomeration,Aparatura,pcs,264.16,302.58,23,4964027239386,Samul-Żołądź Sp. z o.o.,aktywny,2024-01-13
199,PRD-71361,Multi-channeled asymmetric data-warehouse,Odczynniki,szt,2231.88,2522.15,23,8148499045361,Gryciuk Sp.j.,aktywny,2024-05-13
200,PRD-38463,Multi-tiered 5thgeneration function,Szkło laboratoryjne,szt,3565.8,4404.82,23,4153649555953,Stowarzyszenie Kosałka i syn s.c.,aktywny,2021-02-16
201,PRD-50000,Fully-configurable didactic neural-net,Odczynniki,szt,3329.91,5898.24,23,4651144061572,Gabinety Woszczyna-Żołądź Sp.j.,aktywny,2023-01-20
202,PRD-67234,Upgradable user-facing middleware,Sprzęt laboratoryjny,szt,2548.17,3763.76,23,6814893151538,Spółdzielnia Kasica,aktywny,2023-10-15
203,PRD-38209,Persevering exuding framework,Podłoża mikrobiologiczne,szt,3250.36,4566.32,23,2230787182155,Pietrasiak-Mrózek Sp. z o.o. Sp.k.,aktywny,2021-01-16
204,PRD-88710,Robust empowering forecast,Odczynniki,szt,888.08,1544.57,23,7096455269312,Ruszczak Sp.k.,aktywny,2024-08-16
205,PRD-21473,Synergistic composite success,Materiały zużywalne,szt,1263.66,1959.9,23,4181720539733,Pawlos-Jonik Sp.j.,aktywny,2021-07-24
206,PRD-33235,Stand-alone directional help-desk,Odczynniki,szt,1688.58,2625.75,23,7887865673484,Dziadkiewicz Sp.k.,aktywny,2024-03-16
207,PRD-46189,Synergized tangible system engine,Materiały zużywalne,szt,2394.17,2596.22,23,7928596530251,Fundacja Korzekwa i syn s.c.,aktywny,2022-12-23
208,PRD-50000,Proactive mission-critical framework,Sprzęt laboratoryjny,szt,1572.22,1992.91,23,8360690823233,Jakoniuk Sp. z o.o.,aktywny,2023-05-24
209,PRD-50000,Expanded high-level archive,Podłoża mikrobiologiczne,szt,593.68,930.6,23,60646626188,FPUH Mrózek-Pawliczek S.A.,aktywny,2022-05-30
210,PRD-62163,Multi-channeled multimedia hub,Podłoża mikrobiologiczne,szt,3679.79,6506.72,23,5202626469284,Gałat-Wawrzynkiewicz Sp.j.,aktywny,2025-09-26
211,PRD-76489,Visionary foreground monitoring,Aparatura,szt,2036.91,3432.98,23,2870382682181,Mitoraj S.A.,aktywny,2023-01-03
212,PRD-38579,Secured multi-tasking time-frame,Odczynniki,szt.,757.48,1221.78,0.23,1764565445276,Stowarzyszenie Bajko-Szczechowicz Sp.k.,aktywny,2021-03-25
213,PRD-28417,Decentralized mobile neural-net,Materiały zużywalne,szt,2664.08,3220.29,23,8464053869914,Stowarzyszenie Kaszkowiak-Wacławiak s.c.,aktywny,2025-11-23
214,PRD-47183,Secured analyzing workforce,Aparatura,szt,3727.65,6387.45,23 %,3119193505351,PPUH Kiepura-Zegadło Sp.k.,aktywny,2024-01-09
215,PRD-41631,Compatible composite neural-net,Materiały zużywalne,opak,3855.89,5940.64,23,4874990782856,Stowarzyszenie Zegar i syn s.c.,aktywny,2023-10-11
216,PRD-97838,Programmable bifurcated implementation,,szt,-3281.08,4315.54,23,6014496131663,Stowarzyszenie Pacura s.c.,nieaktywny,2021-04-15
217,PRD-50000,Enhanced didactic monitoring,Materiały zużywalne,szt,1340.07,2159.42,23,9186727732798,Choina-Rawa s.c.,aktywny,2022-11-05
218,PRD-18910,Face-to-face fault-tolerant monitoring,Szkło laboratoryjne,szt,1257.76,2252.75,23,2904244406783,Grupa Kwapień-Gasz Sp.k.,aktywny,2026-02-28
219,PRD-57051,Virtual 6thgeneration superstructure,Podłoża mikrobiologiczne,szt,1586.55,2468.62,23,8183676038428,Hyjek s.c.,aktywny,2025-03-05
220,PRD-93960,Cloned empowering info-mediaries,Sprzęt laboratoryjny,szt.,55.37,90.76,23,4851320105601,Wolan-Pacocha Sp.k.,aktywny,2024-02-02
221,PRD-61794,Robust context-sensitive function,Podłoża mikrobiologiczne,szt,618.02,912.83,23,2551083079489,Cebo-Goik s.c.,aktywny,2022-05-08
222,PRD-52738,Multi-layered object-oriented Local Area Network,Odczynniki,szt,0,1269.68,23,5671774881615,Fuławka-Kopiczko Sp. z o.o.,aktywny,2025-12-09
223,PRD-35947,Reverse-engineered user-facing benchmark,Aparatura,szt,3671.65,5600.82,23,63779120325,Burchardt-Syldatk Sp. z o.o. Sp.k.,aktywny,2025-01-02
224,PRD-47321,Distributed methodical core,Sprzęt laboratoryjny,opak,1655.78,2077.61,23,8558866333656,Grupa Rej,aktywny,2021-03-15
225,PRD-16060,Implemented uniform initiative,Szkło laboratoryjne,szt,743.62,1252.77,23,4878688235533,Pazera S.A.,aktywny,2022-04-19
226,PRD-25972,Configurable full-range project,Odczynniki,szt,719.86,1057.96,23,7361706916386,Stowarzyszenie Mysiak,aktywny,2022-03-23
227,PRD-34928,Business-focused asymmetric Graphic Interface,Szkło laboratoryjne,szt,1249.03,2228.53,23,3921234156979,Ostapiuk-Warczak Sp. z o.o.,aktywny,2024-09-12
228,PRD-98304,Integrated explicit access,Podłoża mikrobiologiczne,szt,136.58,216.78,23,1447794578277,Fundacja Chlebda Sp. z o.o.,aktywny,2025-05-29
229,PRD-53046,Synchronized transitional attitude,Sprzęt laboratoryjny,szt,2709.1,4201.03,23,1956074569334,Janka Sp.k.,nieaktywny,2025-10-21
230,PRD-96018,Open-source high-level pricing structure,,szt,2156.3,2607.64,23%,9777845958156,Stowarzyszenie Mordak-Wojtiuk Sp. z o.o. Sp.k.,aktywny,2020-10-29
231,PRD-76293,Intuitive logistical installation,Sprzęt laboratoryjny,kpl,205.94,367.14,23,6335683844551,Spółdzielnia Breś i syn s.c.,aktywny,2024-12-15
232,PRD-83663,Integrated fresh-thinking framework,Sprzęt laboratoryjny,szt,1512.26,1937.89,23,6440150672183,Pawlos s.c.,aktywny,2025-02-20
233,PRD-56659,User-centric contextually-based policy,Podłoża mikrobiologiczne,szt,2024.71,3460.43,23,6898394462632,Grupa Tylus-Świadek s.c.,aktywny,2024-04-21
234,PRD-84824,Right-sized encompassing Graphical User Interface,Aparatura,szt,3149.58,4316.12,23,4246105173484,Subocz-Namysło Sp. z o.o. Sp.k.,aktywny,2022-03-14
235,PRD-28710,Synergized attitude-oriented process improvement,Materiały zużywalne,szt,846.81,1469.07,23,3795227498580,Nowek Sp.j.,aktywny,2023-12-20
236,PRD-80817,Customer-focused system-worthy synergy,,szt,2872.77,4916.68,23,9328653034961,FPUH Zapadka Sp.k.,nieaktywny,2023-08-04
237,PRD-98076,Seamless background adapter,Podłoża mikrobiologiczne,szt,-1872.76,2236.69,23,5454916015716,Baś i syn s.c.,aktywny,2025-05-21
238,PRD-56325,Total upward-trending moderator,Odczynniki,szt,1667.67,1882.83,23,2530667654257,Chmielak-Leszczak Sp. z o.o. Sp.k.,aktywny,2024-10-20
239,PRD-75818,Devolved user-facing capability,Szkło laboratoryjne,szt.,3481.01,4688.54,23,3980565436689,PPUH Tylus Sp.j.,aktywny,2023-05-15
240,PRD-12491,Profit-focused clear-thinking collaboration,Sprzęt laboratoryjny,szt,2418.26,4325.63,23,2466131009361,Grygorcewicz i syn s.c.,aktywny,2025-05-07
241,PRD-21361,Proactive heuristic productivity,Sprzęt laboratoryjny,szt,2488.22,3217.29,23,6272790564549,Spółdzielnia Cierpka i syn s.c.,aktywny,2023-02-11
242,PRD-23303,Multi-tiered regional open system,Szkło laboratoryjne,sztuka,2783.14,3413.53,23,3130422574636,Spółdzielnia Ochnio s.c.,aktywny,2022-09-11
243,PRD-18928,Ergonomic responsive flexibility,Sprzęt laboratoryjny,szt,1075.08,1468.15,23,9689592827270,PPUH Skiepko Sp.k.,nieaktywny,2023-05-03
244,PRD-10309,Cross-group value-added ability,Odczynniki,szt,2528.39,3811.4,23,3778314089632,Łapaj s.c.,aktywny,2020-11-13
245,PRD-75689,Focused client-driven protocol,Materiały zużywalne,szt,311.73,377.6,23,1546235575171,Fundacja Kruszka,aktywny,2022-04-11
246,PRD-29910,Virtual clear-thinking neural-net,,kpl,965.64,1085.91,23,5261444420801,Grupa Koćwin S.A.,aktywny,2024-12-26
247,PRD-98983,Diverse client-server algorithm,Odczynniki,szt,2550.45,3989.67,23,65048081706,Buś Sp.k.,aktywny,2025-12-30
248,PRD-81993,Persistent encompassing open architecture,Szkło laboratoryjne,szt,186.78,230.36,23,8502943392041,PPUH Neugebauer,aktywny,2020-12-13
249,PRD-50000,User-centric clear-thinking extranet,Szkło laboratoryjne,szt,3335.81,3960.27,23,2719038690990,Paleń-Wowra Sp. z o.o.,aktywny,2025-09-04
250,PRD-85405,Digitized reciprocal hardware,Podłoża mikrobiologiczne,szt,1946.4,2511.15,23,1243478509166,Matura Sp. z o.o. Sp.k.,aktywny,2020-08-15
251,PRD-93735,Enterprise-wide transitional workforce,Podłoża mikrobiologiczne,pcs,2762.59,4260.24,23,7616237834425,Bogaczyk Sp.k.,aktywny,2022-12-10
252,PRD-48538,Profound secondary adapter,Materiały zużywalne,pcs,3284.21,3877.41,23,5194162692068,Uzar-Wiciak Sp.j.,aktywny,2023-01-04
253,PRD-73040,Ameliorated homogeneous analyzer,Odczynniki,szt,3137.71,4495.51,23,6497870514030,PPUH Mirga,aktywny,2026-01-31
254,PRD-24885,Enhanced contextually-based firmware,Aparatura,szt,1221.26,1849.12,23,8956652185023,Oleksik i syn s.c.,aktywny,2025-12-20
255,PRD-14348,Multi-channeled exuding matrices,Materiały zużywalne,szt,566.82,1006.4,23,1816272402111,Fundacja Ślipek,aktywny,2026-05-21
256,PRD-36490,Open-architected system-worthy portal,Materiały zużywalne,szt,43.63,74.27,23%,4144405824781,Grupa Iciek,aktywny,2022-06-10
257,PRD-11653,Reduced 3rdgeneration extranet,Odczynniki,szt,457.46,708.86,23,4778326490833,Szałkiewicz s.c.,aktywny,2021-05-30
258,PRD-55914,Upgradable optimal middleware,Sprzęt laboratoryjny,szt,2187.81,2525.0,23,8931565063176,Fundacja Kapka,aktywny,2024-08-09
259,PRD-31499,Team-oriented empowering database,Odczynniki,szt,594.48,1011.63,23,2963745988874,Sinkiewicz Sp.j.,aktywny,2025-10-19
260,PRD-31708,Managed responsive help-desk,Szkło laboratoryjne,szt,2258.18,3599.9,23,4787066422468,Gabinety Cieciura S.A.,aktywny,2024-11-21
261,PRD-20936,Profound next generation matrix,Aparatura,szt,1978.96,2117.35,23,9892497575198,PPUH Białczyk-Samulak Sp.k.,aktywny,2025-05-31
262,PRD-80387,Multi-tiered grid-enabled interface,Aparatura,szt,3948.93,5533.28,23,40899524306,PPUH Grymuza-John Sp. z o.o.,nieaktywny,2020-08-20
263,PRD-34746,Expanded human-resource protocol,Szkło laboratoryjne,szt,722.18,810.21,23,8602819187628,Skalik Sp.k.,aktywny,2020-09-25
264,PRD-85153,De-engineered client-driven parallelism,Materiały zużywalne,szt,686.68,742.02,23,9500099635966,Piekart Sp. z o.o.,aktywny,2024-05-07
265,PRD-47082,Cross-platform upward-trending core,Podłoża mikrobiologiczne,szt,838.82,1419.99,23,7348012883694,Fundacja Zysk-Aleksander Sp.j.,aktywny,2021-06-05
266,PRD-19733,Reverse-engineered even-keeled secured line,Odczynniki,szt,2435.3,3070.33,23 %,7028694167406,Grupa Narożny s.c.,aktywny,2024-03-04
267,PRD-44007,Seamless 24/7 data-warehouse,Szkło laboratoryjne,szt,3182.49,2705.33,23,3879002091405,Grupa Działo-Chudoba Sp. z o.o.,aktywny,2025-03-10
268,PRD-40498,Virtual uniform superstructure,Aparatura,szt,3716.7,5147.39,23,5408802000963,Gabinety Zastawny,aktywny,2026-01-28
269,PRD-95858,Reverse-engineered well-modulated Graphic Interface,Podłoża mikrobiologiczne,szt,202.8,214.0,23,7908238025867,Hass-Matynia Sp.k.,aktywny,2023-11-09
270,PRD-76838,Re-contextualized explicit function,Sprzęt laboratoryjny,szt,3323.96,4337.13,23 %,6765228793035,Kołata Sp.k.,aktywny,2020-08-23
271,PRD-67916,Versatile bottom-line firmware,Sprzęt laboratoryjny,szt,341.42,589.66,23,5262508900521,Gabinety Tórz Sp.k.,nieaktywny,2022-02-06
272,PRD-25440,Business-focused high-level emulation,Podłoża mikrobiologiczne,szt,2196.25,3236.24,23,3294527257042,Fundacja Meler,aktywny,2021-10-08
273,PRD-35333,Realigned disintermediate parallelism,Materiały zużywalne,szt,364.51,425.83,23,8512016721437,Grupa Mycek,aktywny,2024-11-09
274,PRD-90996,Open-source methodical data-warehouse,Szkło laboratoryjne,szt,2138.98,2363.03,23%,7399671095166,Kornet s.c.,aktywny,2023-12-15
275,PRD-18669,Managed upward-trending definition,Podłoża mikrobiologiczne,szt,170.62,219.43,23,9353500780974,Szok-Jarmużek Sp.j.,aktywny,2021-07-21
276,PRD-45588,Proactive 24/7 workforce,Szkło laboratoryjne,szt,1846.25,2863.94,23,2574781386396,Stowarzyszenie Kurda-Uss i syn s.c.,aktywny,2023-05-31
277,PRD-96539,Programmable impactful product,Szkło laboratoryjne,sztuka,3318.69,4599.28,23,6416062164552,FPUH Borejko-Pyza i syn s.c.,aktywny,2021-06-16
278,PRD-96198,Managed homogeneous solution,Szkło laboratoryjne,szt,3760.43,5478.22,23,2752880508495,Cacko-Jeżyk S.A.,nieaktywny,2023-08-20
279,PRD-63329,Multi-layered zero-defect protocol,Aparatura,szt,3284.68,4274.85,23,9175049844117,FPUH Mich-Kasznia S.A.,aktywny,2021-05-10
280,PRD-45123,Progressive composite structure,Szkło laboratoryjne,opak,2339.96,3050.71,23,2692341614711,Grupa Trojanowicz-Szoka Sp. z o.o.,aktywny,2022-04-11
281,PRD-50163,Progressive didactic collaboration,Materiały zużywalne,szt,3161.64,4386.42,23,9503603587578,Ścibior-Kansy Sp. z o.o.,aktywny,2025-10-16
282,PRD-29997,Optional multimedia migration,Podłoża mikrobiologiczne,szt,3034.74,3277.8,23,5423834338428,Fundacja Szkup,aktywny,2024-06-25
283,PRD-76165,Upgradable exuding software,Sprzęt laboratoryjny,szt,3829.22,4897.57,23,9097904976251,Fundacja Marat Sp.k.,aktywny,2024-03-05
284,PRD-17775,Proactive motivating adapter,Szkło laboratoryjne,szt,3448.84,5505.72,23,7218757906668,Fundacja Widłak-Kłoczko i syn s.c.,aktywny,2022-08-09
285,PRD-82827,Reactive directional matrices,Aparatura,pcs,2130.8,3074.96,23,5148010008847,FPUH Stoch,aktywny,2026-03-10
286,PRD-32465,Re-engineered fresh-thinking orchestration,Szkło laboratoryjne,szt,1997.91,3563.98,23,4345563099702,Stowarzyszenie Pachla Sp. z o.o.,aktywny,2024-05-13
287,PRD-92184,Focused heuristic productivity,Odczynniki,szt,2803.85,4819.29,23,5487816230836,Sacharczuk-Burkiewicz Sp. z o.o. Sp.k.,aktywny,2023-04-13
288,PRD-50000,Monitored systemic toolset,Sprzęt laboratoryjny,szt,2303.43,3111.16,23,6035351471905,PPUH Kociemba,aktywny,2023-07-19
289,PRD-86747,Diverse motivating standardization,Szkło laboratoryjne,opak,545.58,759.0,23,6614520915961,Fundacja Parda-Zaczyk Sp.k.,aktywny,2024-12-18
290,PRD-41424,Persevering even-keeled array,Szkło laboratoryjne,szt,3185.28,4173.04,23,8127300546736,Buchholz Sp.k.,aktywny,2022-04-21
291,PRD-50000,Implemented multi-tasking info-mediaries,Sprzęt laboratoryjny,szt,1895.92,2464.92,23,6484058573891,Sadłocha-Leśny Sp. z o.o. Sp.k.,aktywny,2024-12-08
292,PRD-23678,Virtual bottom-line synergy,,sztuka,2524.92,2758.2,23,4420615578269,Dolega s.c.,aktywny,2021-03-22
293,PRD-27457,Secured modular interface,,szt,471.18,738.98,23,8006699691517,Stowarzyszenie Młynarz,aktywny,2023-06-04
294,PRD-33206,Future-proofed reciprocal installation,Aparatura,szt,3529.54,6313.33,23,8057540857549,Gabinety Groth,aktywny,2026-06-25
295,PRD-38462,Compatible zero administration help-desk,Sprzęt laboratoryjny,szt,2228.64,2644.19,23,9080398729246,Stowarzyszenie Bartoszczyk Sp. z o.o.,aktywny,2023-08-27
296,PRD-25360,Seamless impactful intranet,Podłoża mikrobiologiczne,szt.,1069.05,1413.61,23,4579024090909,PPUH Kołak-John Sp.k.,aktywny,2023-10-25
297,PRD-23795,Advanced actuating open system,Aparatura,szt,3736.39,4158.75,23,5665792770726,Żyrek-Knych s.c.,aktywny,2023-07-13
298,PRD-72659,Enterprise-wide analyzing budgetary management,,szt,1175.65,1734.93,23,3930408163642,Gabinety Zimoląg i syn s.c.,aktywny,2021-06-19
299,PRD-49227,Automated attitude-oriented task-force,Sprzęt laboratoryjny,szt,2528.95,3663.46,23,6281814524572,PPUH Zbróg,aktywny,2026-03-25
300,PRD-31157,Streamlined scalable collaboration,Szkło laboratoryjne,szt,443.09,587.23,23,3160846336970,Makles-Dzierżak S.A.,nieaktywny,2025-02-17
301,PRD-90013,Progressive even-keeled task-force,Sprzęt laboratoryjny,szt,1096.08,1554.61,23,5427690699486,Gabinety Stebel-Wołos Sp. z o.o. Sp.k.,aktywny,2023-10-16
302,PRD-75681,Visionary stable policy,Aparatura,szt,716.24,1072.34,23,5454626389241,Huczek-Baumgart Sp.j.,aktywny,2022-11-06
303,PRD-91496,Reactive actuating open system,Szkło laboratoryjne,szt,1296.22,1994.7,23,7590609459063,Gabinety Piguła-Dziarmaga Sp.k.,aktywny,2021-11-19
304,PRD-18015,Team-oriented actuating artificial intelligence,Aparatura,szt,1443.73,2440.7,23,5591832125694,Grupa Parda-Grochowina i syn s.c.,aktywny,2021-05-27
305,PRD-46432,Expanded dedicated framework,Aparatura,szt,3188.77,3874.93,23,1855706126942,Grupa Bereś-Paździora i syn s.c.,aktywny,2025-10-11
306,PRD-44088,Managed directional intranet,Materiały zużywalne,szt,3252.0,4774.84,23,4460627594340,Ludwiniak-Kolka s.c.,nieaktywny,2020-11-05
307,PRD-42898,Open-architected impactful synergy,Aparatura,szt,2898.25,3242.69,23,6278427585722,Grupa Jaśko Sp. z o.o. Sp.k.,nieaktywny,2023-03-27
308,PRD-99201,Fundamental encompassing instruction set,Aparatura,szt,2972.43,4313.9,23,3958973780032,Majerczyk S.A.,aktywny,2021-02-02
309,PRD-45212,Reduced coherent infrastructure,Podłoża mikrobiologiczne,sztuka,3951.21,6032.58,23,1233713921203,Grzelec Sp.j.,aktywny,2024-12-03
310,PRD-87979,Pre-emptive encompassing synergy,Podłoża mikrobiologiczne,szt,461.36,493.59,23,5262382325519,FPUH Gawłowicz S.A.,aktywny,2024-01-11
311,PRD-29272,Proactive client-driven application,Odczynniki,szt,2430.51,4157.91,23 %,1651240848722,FPUH Wałęsa,aktywny,2020-08-28
312,PRD-44899,Object-based tangible utilization,Aparatura,szt,1701.84,2871.22,23,7155046870588,PPUH Witka,aktywny,2021-09-15
313,PRD-10291,Cloned bi-directional policy,Sprzęt laboratoryjny,szt,434.39,509.76,23,2431044494813,Palej-Potaczek i syn s.c.,aktywny,2020-07-29
314,PRD-34542,Monitored incremental intranet,Aparatura,opak,3639.55,5900.27,23,9997355411383,Młocek-Dawiec Sp. z o.o. Sp.k.,nieaktywny,2022-01-21
315,PRD-82638,User-centric 6thgeneration concept,Aparatura,szt,455.72,537.52,23,2408270659580,Dej Sp. z o.o. Sp.k.,aktywny,2023-11-14
316,PRD-70567,Inverse uniform toolset,Szkło laboratoryjne,szt,568.33,612.38,23,8967013572075,Makar-Mrozowicz i syn s.c.,aktywny,2023-06-28
317,PRD-94847,Ameliorated systematic methodology,Odczynniki,szt,659.89,1153.87,23 %,2491581658406,Stowarzyszenie Szarpak Sp. z o.o. Sp.k.,aktywny,2023-08-01
318,PRD-94100,Reactive client-driven array,Aparatura,szt.,549.98,739.28,23,3982804697482,Bembenek-Mydlarz Sp.j.,aktywny,2026-07-16
319,PRD-56394,Fundamental didactic portal,Szkło laboratoryjne,szt,3669.84,4039.75,23,3982288770784,Fundacja Burkiewicz,aktywny,2024-03-03
320,PRD-88593,Stand-alone multimedia flexibility,Materiały zużywalne,szt,2960.77,4682.5,23,4751382563378,FPUH Ciołczyk,aktywny,2026-01-19
321,PRD-32339,Adaptive local open architecture,Szkło laboratoryjne,szt,2810.8,4234.76,23,1503497392909,Gabinety Olbrych-Dulewicz i syn s.c.,aktywny,2026-02-25
322,PRD-88750,Polarized global artificial intelligence,Podłoża mikrobiologiczne,szt,1914.05,2683.35,23,11743219864,FPUH Trojanek-Dmoch s.c.,aktywny,2025-06-06
323,PRD-92016,Profit-focused asymmetric knowledgebase,Odczynniki,szt,68.4,87.82,23,7489868934247,Stowarzyszenie Kycia Sp. z o.o.,aktywny,2023-08-13
324,PRD-51478,Distributed object-oriented service-desk,Odczynniki,szt,2920.4,4239.29,23,5938232625691,Stowarzyszenie Prokopczyk,aktywny,2023-02-19
325,PRD-54695,Integrated real-time time-frame,Aparatura,szt,2281.35,4064.07,23,1449863784965,Matraszek-Zagrodnik Sp.k.,aktywny,2026-07-05
326,PRD-63715,Cross-platform interactive focus group,Szkło laboratoryjne,szt,1425.48,2086.41,23,8483478289186,PPUH Latoszek-Roskosz i syn s.c.,aktywny,2025-04-04
327,PRD-71342,Synergistic well-modulated encryption,,pcs,849.86,1088.2,23,6744459357374,Gabinety Megger-Droździk Sp.k.,aktywny,2022-06-25
328,PRD-48137,Re-engineered methodical flexibility,Sprzęt laboratoryjny,szt,352.85,393.94,23,3905070437800,Fundacja Sapeta Sp. z o.o. Sp.k.,aktywny,2024-10-25
329,PRD-23603,Multi-tiered zero-defect functionalities,Szkło laboratoryjne,szt,1246.65,1921.77,23,3301179288400,Grupa Wielądek-Wiatrak Sp. z o.o. Sp.k.,aktywny,2024-06-06
330,PRD-55749,Inverse exuding success,Szkło laboratoryjne,szt,2331.8,2554.87,23,5121593220846,Stowarzyszenie Mularz-Komperda Sp.k.,aktywny,2024-09-29
331,PRD-50000,Expanded scalable function,,szt,965.41,1127.7,23%,9277450690381,Szajner-Baster s.c.,aktywny,2024-04-08
332,PRD-64703,Phased stable methodology,Podłoża mikrobiologiczne,szt,157.08,217.63,23,37826427232,Droździk i syn s.c.,aktywny,2024-03-05
333,PRD-43031,Open-source non-volatile conglomeration,Szkło laboratoryjne,szt,1837.7,2237.64,23,6807460257359,Mizia-Pietrasiak i syn s.c.,aktywny,2022-06-21
334,PRD-82195,Reduced encompassing throughput,Materiały zużywalne,szt,3772.95,6616.47,23,9054864597146,Gabinety Wons-Serwa Sp.j.,aktywny,2021-02-18
335,PRD-52548,Open-architected system-worthy encoding,Sprzęt laboratoryjny,szt,333.75,473.53,23,3778208615427,Gabinety Rabiej,aktywny,2022-07-10
336,PRD-66112,Monitored demand-driven hierarchy,Materiały zużywalne,pcs,2486.56,3660.11,23,3851331593771,Fundacja Gwara-Tomaszczyk Sp. z o.o.,aktywny,2025-01-05
337,PRD-86651,Switchable actuating budgetary management,Szkło laboratoryjne,szt,1987.92,3099.13,23,1930361043505,Danel Sp.k.,aktywny,2023-01-26
